"date","iso_4217","value"
"1983-01-04","CAD",31.96
"1983-01-11","CAD",31.96
"1983-01-18","CAD",31.96
"1983-01-25","CAD",32.47
"1983-02-01","CAD",32.26
"1983-02-08","CAD",32.64
"1983-02-15","CAD",32.64
"1983-02-22","CAD",32.39
"1983-03-01","CAD",32.76
"1983-03-08","CAD",32.76
"1983-03-15","CAD",32.76
"1983-03-24","CAD",32.76
"1983-03-29","CAD",32.93
"1983-04-05","CAD",32.93
"1983-04-08","CAD",33.92
"1983-04-12","CAD",33.92
"1983-04-19","CAD",33.75
"1983-04-26","CAD",33.75
"1983-05-03","CAD",34.12
"1983-05-10","CAD",34.12
"1983-05-17","CAD",34.12
"1983-05-24","CAD",34.12
"1983-05-31","CAD",34.12
"1983-06-07","CAD",34.6
"1983-06-14","CAD",34.6
"1983-06-21","CAD",34.6
"1983-06-28","CAD",34.6
"1983-07-05","CAD",34.6
"1983-07-12","CAD",35.83
"1983-07-19","CAD",35.83
"1983-07-26","CAD",35.83
"1983-08-02","CAD",36.01
"1983-08-09","CAD",36.21
"1983-08-16","CAD",36.21
"1983-08-23","CAD",36.21
"1983-08-30","CAD",36.21
"1983-09-06","CAD",36.21
"1983-09-13","CAD",36.21
"1983-09-20","CAD",36.21
"1983-09-27","CAD",36.21
"1983-10-04","CAD",36.21
"1983-10-11","CAD",35.95
"1983-10-18","CAD",35.95
"1983-10-25","CAD",35.95
"1983-11-01","CAD",35.95
"1983-11-08","CAD",36.15
"1983-11-15","CAD",36.15
"1983-11-22","CAD",36.15
"1983-11-29","CAD",36.15
"1983-12-06","CAD",36.15
"1983-12-13","CAD",36.15
"1983-12-20","CAD",36.15
"1983-12-28","CAD",36.15
"1984-01-03","CAD",36.15
"1984-01-10","CAD",36.33
"1984-01-17","CAD",36.33
"1984-01-24","CAD",36.33
"1984-02-14","CAD",37.3
"1984-02-21","CAD",36.93
"1984-02-28","CAD",36.58
"1984-03-06","CAD",36.4
"1984-03-13","CAD",36.03
