date,value
2000-01-04,-5.88896790474945
2000-01-05,-9.283160694634432
2000-01-06,-8.947353484504845
2000-01-07,-8.001546274389852
2000-01-10,-7.104124644015684
2000-01-11,-8.31831743390066
2000-01-12,-9.402510223771088
2000-01-13,-8.616703013656092
2000-01-14,-7.3608958035265175
2000-01-17,-4.783474173166894
2000-01-18,-4.517666963037328
2000-01-19,-4.961859752922322
2000-01-20,-4.406052542792736
2000-01-21,-5.85024533267773
2000-01-24,-3.70282370230359
2000-01-25,-3.727016492188568
2000-01-26,-3.3312092820589783
2000-01-27,-2.8454020719294135
2000-01-28,0.6304051381856084
2000-01-31,1.9478267685597643
2000-02-01,4.7336339786747885
2000-02-02,3.9394411888043237
2000-02-03,3.53524839891935
2000-02-04,-1.4489443909510555
2000-02-07,0.7884772394085076
2000-02-08,0.6542844495381246
2000-02-09,-1.5999083403468717
2000-02-10,-2.024101130217332
2000-02-11,-0.7482939201022987
2000-02-14,-2.3908722897281223
2000-02-15,0.15493492038689283
2000-02-16,0.06074213051647348
2000-02-17,-3.103450659368548
2000-02-18,-1.3876434492389649
2000-02-21,-1.6902218188648135
2000-02-22,-4.524414608749794
2000-02-23,-5.488607398620218
2000-02-24,-4.812800188505207
2000-02-25,-2.2269929783756197
2000-02-28,1.5604286519839548
2000-02-29,0.11623586211351267
2000-03-01,2.0920430722285346
2000-03-02,1.0578502823581175
2000-03-03,2.583657492473151
2000-03-06,2.5910791228473045
2000-03-07,3.5568863329623355
2000-03-08,3.492693543091889
2000-03-09,2.9885007532068926
2000-03-10,1.5443079633364505
2000-03-13,0.14172959369608407
2000-03-14,2.8175368038256465
2000-03-16,0.0591512240702059
2000-03-17,0.46495843418523464
2000-03-20,-1.2076199354406185
2000-03-21,-1.7318127253110447
2000-03-22,1.5239944848040068
2000-03-23,1.0398016949335442
2000-03-24,-0.714391094951452
2000-03-27,-2.8569694645772756
2000-03-28,-0.011162254462249166
2000-03-29,2.1546449556673224
2000-03-30,3.580452165782333
2000-03-31,2.6862593759119022
2000-04-03,4.193681006271504
2000-04-04,3.7994882164010733
2000-04-05,0.6052954265160793
2000-04-06,0.7711026366456508
2000-04-07,1.6169098467606773
2000-04-10,1.6743314771348423
2000-04-11,-0.3698613127501176
2000-04-12,0.5459458973793971
2000-04-13,0.1917531075089869
2000-04-14,0.8175603176239861
2000-04-17,0.024981947998185206
2000-04-18,2.78078915811318
2000-04-19,3.0165963682427446
2000-04-20,4.862403578357771
2000-04-21,4.938210788487368
2000-04-25,4.601439628976493
2000-04-26,9.917246839091547
2000-04-27,9.123054049221082
2000-04-28,12.438861259336136
2000-05-02,11.36209009982531
2000-05-03,14.857897309954865
2000-05-04,17.513704520069894
2000-05-05,16.079511730199442
2000-05-08,14.00693336055906
2000-05-09,14.692740570688613
2000-05-10,10.938547780818169
2000-05-11,12.044354990933186
2000-05-12,13.250162201062778
2000-05-15,9.367583831422394
2000-05-16,11.353391041551959
2000-05-17,14.729198251666958
2000-05-18,15.525005461796525
2000-05-19,15.86081267191156
2000-05-22,13.658234302285734
2000-05-23,9.494041512400713
2000-05-24,10.969848722530287
2000-05-25,12.935655932645318
2000-05-26,8.671463142774883
2000-05-29,4.008884773134469
2000-05-30,1.0746919832640742
2000-05-31,2.5004991933790848
2000-06-01,1.9063064035086654
2000-06-02,0.7721136136236737
2000-06-05,-2.3804647560021976
2000-06-06,-3.1146575458726034
2000-06-07,-5.998850335757595
2000-06-08,-6.7430431256280485
2000-06-09,-5.857235915513002
2000-06-13,-6.494007075023831
2000-06-14,-8.388199864894261
2000-06-15,-5.932392654779278
2000-06-16,-5.726585444649686
2000-06-19,-9.089163814290089
2000-06-20,-7.5733566041604945
