date,value
2000-01-04,-9.144876755781581
2000-01-05,-9.153264891624133
2000-01-06,-9.0816530274667
2000-01-07,-9.430041163309028
2000-01-10,-9.585205570836479
2000-01-11,-9.523593706679037
2000-01-12,-9.641981842521375
2000-01-13,-9.600369978363943
2000-01-14,-9.678758114206488
2000-01-17,-9.803922521733938
2000-01-18,-9.77231065757627
2000-01-19,-9.730698793418838
2000-01-20,-9.879086929261177
2000-01-21,-9.367475065103747
2000-01-24,-9.612639472631201
2000-01-25,-9.471027608473747
2000-01-26,-9.519415744316092
2000-01-27,-9.337803880158646
2000-01-28,-9.45619201600121
2000-01-31,-9.121356423528425
2000-02-01,-8.799744559370993
2000-02-02,-9.178132695213549
2000-02-03,-9.246520831055875
2000-02-04,-8.944908966898453
2000-02-07,-8.74007337442589
2000-02-08,-8.678461510268448
2000-02-09,-8.876849646110799
2000-02-10,-8.545237781953347
2000-02-11,-8.503625917795688
2000-02-14,-8.43879032532314
2000-02-15,-8.587178461165706
2000-02-16,-8.42556659700827
2000-02-17,-8.253954732850588
2000-02-18,-8.192342868693146
2000-02-21,-7.637507276220617
2000-02-22,-7.785895412062956
2000-02-23,-7.644283547905502
2000-02-24,-8.30267168374806
2000-02-25,-8.041059819590402
2000-02-28,-8.046224227117847
2000-02-29,-7.974612362960414
2000-03-01,-8.12300049880298
2000-03-02,-8.141388634645295
2000-03-03,-8.089776770487873
2000-03-06,-8.114941178015329
2000-03-07,-8.243329313857657
2000-03-08,-8.111717449700222
2000-03-09,-7.880105585542765
2000-03-10,-7.768493721385113
2000-03-13,-7.923658128912564
2000-03-14,-7.812046264755139
2000-03-16,-8.298822536440014
2000-03-17,-8.327210672282575
2000-03-20,-8.392375079810023
2000-03-21,-8.240763215652379
2000-03-22,-8.209151351494938
2000-03-23,-7.687539487337489
2000-03-24,-6.755927623179815
2000-03-27,-5.651092030707275
2000-03-28,-5.729480166549848
2000-03-29,-5.507868302392183
2000-03-30,-5.636256438234739
2000-03-31,-5.344644574077279
2000-04-03,-4.76980898160474
2000-04-04,-3.6381971174470777
2000-04-05,-3.496585253289652
2000-04-06,-3.244973389131985
2000-04-07,-2.7033615249745253
2000-04-10,-3.1685259325019786
2000-04-11,-3.526914068344553
2000-04-12,-3.745302204186885
2000-04-13,-3.6736903400294523
2000-04-14,-3.82207847587199
2000-04-17,-2.8572428833992376
2000-04-18,-3.1356310192417993
2000-04-19,-3.434019155084343
2000-04-20,-3.392407290926684
2000-04-21,-3.5407954267692503
2000-04-25,-3.4943479701392732
2000-04-26,-3.662736105981594
2000-04-27,-3.531124241824159
2000-04-28,-3.3595123776664764
2000-05-02,-2.3430649210365004
2000-05-03,-1.4014530568790633
2000-05-04,-0.33984119272139424
2000-05-05,-1.2382293285639605
2000-05-08,-1.1033937360914194
2000-05-09,-0.7217818719337572
2000-05-10,-1.6901700077763167
2000-05-11,-1.4385581436188772
2000-05-12,-1.4469462794612014
2000-05-15,-1.3621106869886432
2000-05-16,-0.8604988228312038
2000-05-17,-0.5288869586737803
2000-05-18,-0.8372750945161158
2000-05-19,-0.6256632303586684
2000-05-22,-0.5608276378861206
2000-05-23,-1.4192157737284674
2000-05-24,-1.3276039095710246
2000-05-25,-0.9659920454135715
2000-05-26,-1.484380181255915
2000-05-29,-1.8095445887833534
2000-05-30,-2.267932724625922
2000-05-31,-2.446320860468262
2000-06-01,-2.804708996310808
2000-06-02,-2.703097132153374
2000-06-05,-2.958261539680848
2000-06-06,-2.8866496755231594
2000-06-07,-2.4350378113657314
2000-06-08,-1.7234259472080566
2000-06-09,-1.8118140830506206
2000-06-13,-1.4453666264206504
2000-06-14,-1.4537547622629745
2000-06-15,-1.412142898105543
2000-06-16,-1.0705310339481002
2000-06-19,-1.1956954414753227
2000-06-20,-0.9840835773178753
2000-06-21,-0.17247171316043364
2000-06-22,0.2791401509972218
2000-06-23,0.23075201515467825
2000-06-26,0.2755876076272159
2000-06-27,0.2671994717846644
2000-06-28,0.4288113359423278
2000-06-29,-0.23957679990024872
2000-06-30,-0.6579649357425694
2000-07-03,-0.26312934327003745
2000-07-04,-0.19151747911257644
2000-07-05,-0.03990561495515976
2000-07-06,0.3717062492025036
2000-07-07,0.6933181133599646
2000-07-10,0.7681537058325034
2000-07-11,0.1697655699901759
2000-07-12,0.011377434147618715
2000-07-13,-0.23701070169494187
2000-07-14,0.47460116246270445
2000-07-17,0.4494367549352489
2000-07-18,0.36104861909268493
2000-07-19,0.722660483250138
2000-07-20,0.5242723474078161
2000-07-21,0.2358842115652351
2000-07-24,-0.11928019596220452
2000-07-25,-0.017668331804543413
2000-07-26,0.11394353235289145
2000-07-27,0.11555539651033087
2000-07-28,0.5371672606680136
2000-07-31,0.7520028531405387
2000-08-01,0.8736147172979827
2000-08-02,1.235226581455663
2000-08-03,1.3968384456130991
2000-08-04,1.1084503097705465
2000-08-07,0.833285902243091
2000-08-08,1.2748977664007555
2000-08-09,1.1565096305581903
2000-08-10,1.228121494715623
2000-08-11,0.5597333588733022
2000-08-14,0.4445689513458433
2000-08-15,-0.18381918449671275
2000-08-16,-0.4722073203390664
2000-08-17,-0.5505954561816111
2000-08-18,-0.6889835920241865
2000-08-21,-0.15414799955163971
2000-08-22,-0.3225361353939604
2000-08-23,0.2790757287634733
2000-08-24,0.790687592921131
2000-08-25,1.4622994570785863
2000-08-28,1.6271350495511285
2000-08-29,1.618746913708577
2000-08-30,1.3203587778662325
2000-08-31,1.3019706420236616
2000-09-01,1.2735825061811
2000-09-04,0.7884180986538922
2000-09-05,1.190029962811309
