date,value
2000-01-04,-14.529591174539064
2000-01-05,-18.783284982727764
2000-01-06,-17.126978790916496
2000-01-07,-14.530672599105174
2000-01-10,-15.461754023673052
2000-01-11,-15.735447831861734
2000-01-12,-15.599141640050448
2000-01-13,-14.772835448239107
2000-01-14,-12.606529256427848
2000-01-17,-9.507610680993878
2000-01-18,-9.371304489182592
2000-01-19,-9.154998297373083
2000-01-20,-6.098692105561781
2000-01-21,-5.612385913750472
2000-01-24,-2.5734673383165614
2000-01-25,-2.8471611465052433
2000-01-26,-3.24085495469393
2000-01-27,-4.764548762882612
2000-01-28,-1.3982425710713073
2000-01-31,0.39067600436078465
2000-02-01,2.8069821961721004
2000-02-02,1.3532883879834117
2000-02-03,-1.7104054202052907
2000-02-04,-13.724099228393982
2000-02-07,-6.385180652960059
2000-02-08,-5.15887446115056
2000-02-09,-6.842568269339267
2000-02-10,-6.146262077527922
2000-02-11,-6.309955885716647
2000-02-14,-11.491037310282707
2000-02-15,-8.214731118471377
2000-02-16,-4.608424926660064
2000-02-17,-6.562118734848752
2000-02-18,-4.925812543039285
2000-02-21,-6.556893967605333
2000-02-22,-8.320587775794024
2000-02-23,-10.094281583982763
2000-02-24,-10.567975392171434
2000-02-25,-7.251669200360141
2000-02-28,-2.532750624927985
2000-02-29,-3.8964444331166987
2000-03-01,-3.7701382413054034
2000-03-02,-3.973832049494092
2000-03-03,-3.017525857682756
2000-03-06,-1.728607282248845
2000-03-07,-2.4423010904375246
2000-03-08,-0.515994898626218
2000-03-09,-0.3796887068167507
2000-03-10,-1.8633825150054122
2000-03-13,-4.124463939571513
2000-03-14,-1.6581577477601854
2000-03-16,-6.605545364137583
2000-03-17,-4.6192391723262745
2000-03-20,-7.800320596894153
2000-03-21,-8.644014405082828
2000-03-22,-3.2177082132715213
2000-03-23,-1.42140202146021
2000-03-24,-1.2850958296489239
2000-03-27,-0.986177254215022
2000-03-28,0.07012893759633698
2000-03-29,4.176435129407594
2000-03-30,7.852741321217081
2000-03-31,7.669047513028431
2000-04-03,9.007966088462354
2000-04-04,10.93427228027366
2000-04-05,5.270578472084935
2000-04-06,3.326884663896294
2000-04-07,4.313190855707603
2000-04-10,4.562109431139675
2000-04-11,2.568415622951022
2000-04-12,4.424721814762279
2000-04-13,5.1810280065736265
2000-04-14,4.767334198384901
2000-04-17,5.236252773818876
2000-04-18,7.542558965630178
2000-04-19,8.068865157439632
2000-04-20,11.395171349250973
2000-04-21,11.761477541062277
2000-04-25,11.476702308307495
2000-04-26,20.243008500118833
2000-04-27,18.309314691930126
2000-04-28,21.305620883741426
2000-05-02,17.98084565098486
2000-05-03,24.69715184279613
2000-05-04,28.363458034607447
2000-05-05,19.679764226418797
2000-05-08,16.398682801852715
2000-05-09,17.594988993662184
2000-05-10,10.461295185473489
2000-05-11,5.53760137728483
2000-05-12,10.2539075690961
2000-05-15,5.1528261445300245
2000-05-16,4.399132336341381
2000-05-17,6.81543852815264
2000-05-18,6.111744719963951
2000-05-19,6.468050911773446
2000-05-22,4.576969487207407
2000-05-23,-2.3167243209812796
2000-05-24,-2.7604181291699774
2000-05-25,1.7458880626413134
2000-05-26,-4.897805745547373
2000-05-29,-7.02888717011524
2000-05-30,-8.482580978303986
2000-05-31,-6.986274786492629
2000-06-01,-8.419968594681336
2000-06-02,-8.663662402870045
2000-06-05,-9.43474382743608
2000-06-06,-9.328437635624823
2000-06-07,-10.212131443813462
2000-06-08,-13.385825252003997
2000-06-09,-13.489519060192663
2000-06-13,-13.094294292947438
2000-06-14,-17.987988101136125
