1991-05-28	1124.72	1124.72	1124.72	1124.72	
1991-05-29	1123.74	1123.74	1123.74	1123.74	
1991-05-30	1120.41	1120.41	1120.41	1120.41	
1991-05-31	1115.61	1115.61	1115.61	1115.61	
1991-06-03	1124.62	1124.62	1124.62	1124.62	
1991-06-04	1130.39	1130.39	1130.39	1130.39	
1991-06-05	1127.82	1127.82	1127.82	1127.82	
1991-06-06	1127.49	1127.49	1127.49	1127.49	
1991-06-07	1123.57	1123.57	1123.57	1123.57	
1991-06-10	1122.61	1122.61	1122.61	1122.61	
1991-06-11	1126.32	1126.32	1126.32	1126.32	
1991-06-12	1118.19	1118.19	1118.19	1118.19	
1991-06-13	1117	1117	1117	1117	
1991-06-14	1111.48	1111.48	1111.48	1111.48	
1991-06-17	1104.95	1104.95	1104.95	1104.95	
1991-06-18	1100.46	1100.46	1100.46	1100.46	
1991-06-19	1105.46	1105.46	1105.46	1105.46	
1991-06-20	1110.09	1110.09	1110.09	1110.09	
1991-06-21	1117.51	1117.51	1117.51	1117.51	
1991-06-24	1098.57	1098.57	1098.57	1098.57	
1991-06-25	1090.52	1090.52	1090.52	1090.52	
1991-06-26	1081.13	1081.13	1081.13	1081.13	
1991-06-27	1074.37	1074.37	1074.37	1074.37	
1991-06-28	1063.87	1063.87	1063.87	1063.87	
1991-07-01	1062.26	1062.26	1062.26	1062.26	
1991-07-02	1065.35	1065.35	1065.35	1065.35	
1991-07-03	1060.75	1060.75	1060.75	1060.75	
1991-07-04	1051.39	1051.39	1051.39	1051.39	
1991-07-05	1035.64	1035.64	1035.64	1035.64	
1991-07-08	1021.14	1021.14	1021.14	1021.14	
1991-07-09	1016.58	1016.58	1016.58	1016.58	
1991-07-10	997.35	997.35	997.35	997.35	
1991-07-11	1007.81	1007.81	1007.81	1007.81	
1991-07-12	1020.46	1020.46	1020.46	1020.46	
1991-07-15	1018.62	1018.62	1018.62	1018.62	
1991-07-16	1013.05	1013.05	1013.05	1013.05	
1991-07-17	1010.36	1010.36	1010.36	1010.36	
1991-07-18	1009.91	1009.91	1009.91	1009.91	
1991-07-19	1005.49	1005.49	1005.49	1005.49	
1991-07-22	1000	1000	1000	1000	
1991-07-23	993.07	993.07	993.07	993.07	
1991-07-24	988.6	988.6	988.6	988.6	
1991-07-25	984.61	984.61	984.61	984.61	
1991-07-26	978.55	978.55	978.55	978.55	
1991-07-29	991.92	991.92	991.92	991.92	
1991-07-30	988.12	988.12	988.12	988.12	
1991-07-31	982.43	982.43	982.43	982.43	
1991-08-01	984.32	984.32	984.32	984.32	
1991-08-02	972.52	972.52	972.52	972.52	
1991-08-05	963.12	963.12	963.12	963.12	
1991-08-06	962.84	962.84	962.84	962.84	
1991-08-07	956.71	956.71	956.71	956.71	
1991-08-08	959.65	959.65	959.65	959.65	
1991-08-09	957.55	957.55	957.55	957.55	
1991-08-12	953.93	953.93	953.93	953.93	
1991-08-13	952.57	952.57	952.57	952.57	
1991-08-14	953.24	953.24	953.24	953.24	
1991-08-15	953.68	953.68	953.68	953.68	
1991-08-16	952.85	952.85	952.85	952.85	
1991-08-21	896.07	896.07	896.07	896.07	
1991-08-22	919.91	919.91	919.91	919.91	
1991-08-23	935.02	935.02	935.02	935.02	
1991-08-26	939.87	939.87	939.87	939.87	
1991-08-27	943.75	943.75	943.75	943.75	
1991-08-28	945.24	945.24	945.24	945.24	
1991-08-29	943.48	943.48	943.48	943.48	
1991-08-30	936.98	936.98	936.98	936.98	
1991-09-02	936.59	936.59	936.59	936.59	
1991-09-03	913.14	913.14	913.14	913.14	
1991-09-04	920.3	920.3	920.3	920.3	
1991-09-05	922.36	922.36	922.36	922.36	
1991-09-06	918.1	918.1	918.1	918.1	
1991-09-09	922.6	922.6	922.6	922.6	
1991-09-10	914.67	914.67	914.67	914.67	
1991-09-11	919.75	919.75	919.75	919.75	
1991-09-12	914.13	914.13	914.13	914.13	
1991-09-13	920.92	920.92	920.92	920.92	
1991-09-16	913.63	913.63	913.63	913.63	
