date,value
2000-01-04,-4.08667487874888
2000-01-05,-6.898698353040089
2000-01-06,-7.070721827338559
2000-01-07,-6.992745301629753
2000-01-10,-5.568815724517918
2000-01-11,-6.730839198809122
2000-01-12,-7.3828626731075815
2000-01-13,-6.4348861473987995
2000-01-14,-5.396909621697262
2000-01-17,-3.5229800445781336
2000-01-18,-2.8750035188766105
2000-01-19,-3.517026993167832
2000-01-20,-3.199050467466293
2000-01-21,-3.571073941757504
2000-01-24,-1.1771443646456419
2000-01-25,-1.6291678389368371
2000-01-26,-0.5911913132353277
2000-01-27,-0.44321478752652865
2000-01-28,2.3747617381750104
2000-01-31,2.2586913152941293
2000-02-01,3.6466678409956614
2000-02-02,2.8246443667044616
2000-02-03,3.782620892405987
2000-02-04,0.430597418114786
2000-02-07,2.4145269952266233
2000-02-08,1.222503520935419
2000-02-09,-0.24951995336306254
2000-02-10,-0.7615434276542601
2000-02-11,0.10643309804726186
2000-02-14,-1.1496373248336056
2000-02-15,-0.0016607991320825022
2000-02-16,0.04631572657672223
2000-02-17,-1.6757077477217592
2000-02-18,-0.09773122201295337
2000-02-21,-0.30380164490111383
2000-02-22,-2.945825119192307
2000-02-23,-4.517848593490783
2000-02-24,-3.6698720677819665
2000-02-25,-1.1118955420804468
2000-02-28,1.952034035038679
2000-02-29,0.8000105607401906
2000-03-01,2.507987086448992
2000-03-02,2.2859636121505105
2000-03-03,2.553940137859314
2000-03-06,2.657869714971156
2000-03-07,3.3158462406799742
2000-03-08,2.873822766381494
2000-03-09,2.591799292090286
2000-03-10,1.709775817791808
2000-03-13,0.4937053949109327
2000-03-14,1.99168192061245
2000-03-16,-0.46236502797719936
2000-03-17,-0.8943885022684128
2000-03-20,-1.6504589251565562
2000-03-21,-1.8224823994477504
2000-03-22,0.3954941262537659
2000-03-23,-0.01652934803743733
2000-03-24,-1.098552822335904
2000-03-27,-1.644623245216792
2000-03-28,0.9833532804847209
2000-03-29,2.6713298061935404
2000-03-30,3.219306331895069
2000-03-31,3.2672828576038455
2000-04-03,4.8512124347157055
2000-04-04,4.479188960424494
2000-04-05,1.8371654861260254
2000-04-06,2.4451420118348324
2000-04-07,2.8631185375363657
2000-04-10,2.347048114655479
2000-04-11,0.45502464035700996
2000-04-12,0.5930011660658181
2000-04-13,0.8209776917673253
2000-04-14,0.2889542174761175
2000-04-17,-1.0971162054120214
2000-04-18,-0.1691396797032212
2000-04-19,0.7888368459983042
2000-04-20,2.636813371707092
2000-04-21,2.8847898974086377
2000-04-25,2.486696000229273
2000-04-26,7.07467252593807
2000-04-27,5.632649051639589
2000-04-28,7.770625577348397
2000-05-02,6.942531680169054
2000-05-03,8.43050820587058
2000-05-04,9.10848473157938
2000-05-05,7.9164612572809006
2000-05-08,7.170390834400024
2000-05-09,7.498367360101554
2000-05-10,5.216343885810346
2000-05-11,5.364320411511869
2000-05-12,7.05229693722066
2000-05-15,4.986226514332515
2000-05-16,6.094203040041322
2000-05-17,8.062179565742838
2000-05-18,7.160156091451654
2000-05-19,7.3981326171604564
2000-05-22,6.762062194272289
2000-05-23,3.770038719981102
2000-05-24,3.478015245682627
2000-05-25,4.305991771391405
2000-05-26,2.3639682970929528
2000-05-29,-0.362102125787942
2000-05-30,-2.044125600086403
2000-05-31,-1.596149074377621
2000-06-01,-0.8081725486760831
2000-06-02,-0.9701960229672864
2000-06-05,-1.3762664458554354
2000-06-06,-1.7482899201466466
2000-06-07,-3.500313394445101
2000-06-08,-4.56233686873631
2000-06-09,-3.5643603430347923
2000-06-13,-3.692454240214147
2000-06-14,-4.08447771450534
2000-06-15,-2.686501188803817
2000-06-16,-3.148524663095003
2000-06-19,-4.504595085983169
2000-06-20,-3.296618560274368
2000-06-21,-2.678642034572846
2000-06-22,-1.3306655088640298
2000-06-23,-0.7726889831625101
2000-06-26,-0.7987594060433878
2000-06-27,-2.28078288034186
2000-06-28,-2.572806354633059
2000-06-29,-2.954829828931537
2000-06-30,-5.9168533032227515
2000-07-03,-4.472923726110906
2000-07-04,-4.234947200402104
2000-07-05,-6.256970674700568
2000-07-06,-7.128994148991779
2000-07-07,-5.071017623290231
2000-07-10,-5.097088046171109
2000-07-11,-5.119111520469602
2000-07-12,-4.64113499476079
2000-07-13,-2.5831584690592706
2000-07-14,-2.4451819433504625
2000-07-17,-3.681252366238624
2000-07-18,-2.603275840529818
2000-07-19,0.7647006851717038
2000-07-20,0.8626772108804914
2000-07-21,-1.4593462634179843
2000-07-24,-1.235416686298862
2000-07-25,-1.387440160597322
2000-07-26,-2.6794636348885206
2000-07-27,-1.871487109187001
2000-07-28,-0.6935105834782007
2000-07-31,-7.184665509555344
2000-08-01,-8.488307075420892
2000-08-02,-6.241948641290065
2000-08-03,-4.2955902071556125
2000-08-04,-3.7392317730248124
2000-08-07,-5.490156470628705
2000-08-08,-3.9437980364942575
2000-08-09,-2.337439602363446
2000-08-10,-3.501081168232645
2000-08-11,-4.8047227340981635
2000-08-14,-3.415647431702098
2000-08-15,-4.999288997571284
2000-08-16,-4.392930563436835
2000-08-17,-4.626572129305998
2000-08-18,-4.740213695171548
2000-08-21,-2.4511383927754764
2000-08-22,-1.5547799586446445
2000-08-23,-1.1384215245101927
2000-08-24,-3.2820630903793813
2000-08-25,-3.42570465624857
2000-08-28,-3.4366293538488435
2000-08-29,-2.8202709197180127
2000-08-30,-0.5139124855872126
2000-08-31,-0.037554051452758586
2000-09-01,1.51880438267807
2000-09-04,-1.5721203149258542
2000-09-05,-0.20576188079138547
2000-09-06,2.200596553339409
